sent_time,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:14:42.103000,41.5114365,36.1191025,48.105,-2.586743,320.0,-3.36831045
14:14:43.171000,41.5115128,36.1189537,48.792,-3.33078218,315.0,-7.709993
14:14:45.228000,41.5116348,36.11863,50.447,-3.89840651,306.0,-6.82232475
14:14:46.301000,41.5116844,36.1184578,51.453,-3.69273663,307.0,0.6119636
14:14:47.275000,41.51175,36.1183128,51.09,-2.69523525,317.0,39.43029
14:14:48.333000,41.5118,36.1182671,50.584,-3.82886481,342.0,33.3586731
14:14:49.401000,41.5119133,36.1182327,49.934,-2.18382716,0.0,26.51305
14:14:50.477000,41.5120277,36.1182632,49.561,-3.32793355,17.0,15.9740362
14:14:51.519000,41.51213,36.11833,49.115,-2.99285817,25.0,8.821867
14:14:52.495000,41.5122223,36.11841,49.618,-2.47793531,25.0,0.5574538
14:14:52.751000,41.51231,36.11849,49.952,-3.26353836,27.0,-3.41105461
14:14:53.705000,41.5124054,36.11857,50.208,-3.83128023,24.0,-3.50929832
14:14:54.780000,41.51247,36.11862,49.956,-3.81077075,22.0,-2.643371
14:14:55.850000,41.51254,36.1186676,49.81,-3.9279,21.0,-3.72477269
14:14:56.825000,41.5126343,36.1187248,49.492,-3.91125655,16.0,-3.47927737
14:14:57.903000,41.51272,36.1187668,49.339,-3.20187545,16.0,20.3267326
14:14:58.978000,41.51282,36.1188736,48.664,-2.80752063,28.0,32.7233162
14:15:00.041000,41.5128555,36.1189651,48.303,-2.17537618,50.0,31.29217
14:15:00.113000,41.51287,36.11918,48.201,-1.62202632,71.0,23.397562
14:15:01.190000,41.5128479,36.1193466,48.319,-2.23729777,83.0,15.4830875
14:15:02.165000,41.51281,36.11952,48.771,-2.74863768,91.0,6.394958
14:15:03.244000,41.51276,36.11968,49.314,-2.94569778,93.0,-0.235656679
14:15:04.303000,41.5126953,36.1198921,49.956,-3.144157,95.0,-3.3520298
14:15:05.365000,41.5126534,36.1200333,50.376,-3.57644057,94.0,-3.67859983
14:15:06.466000,41.5126,36.1202354,51.063,-4.33748,94.0,-3.78872013
14:15:06.495000,41.5125771,36.12034,51.004,-4.47658968,92.0,21.3541412
14:15:07.568000,41.5124969,36.12056,50.14,-4.09201145,112.0,44.7844467
14:15:08.634000,41.5123634,36.12069,49.375,-2.68735313,143.0,44.750988
14:15:09.701000,41.51218,36.12074,49.387,-0.924619,169.0,40.7795334
14:15:10.764000,41.51195,36.1206779,49.602,-1.43479073,193.0,23.0168781
14:15:11.832000,41.511795,36.12059,50.39,-2.049922,203.0,9.765805
14:15:12.896000,41.51165,36.12049,50.738,-3.16804862,206.0,2.41888547
14:15:13.959000,41.5115128,36.1203957,50.702,-3.95936942,206.0,-3.978488
14:15:14.928000,41.5113373,36.1202774,50.442,-1.490245,205.0,39.0070229
14:15:16.004000,41.51122,36.12015,49.795,-3.45257115,227.0,46.04633
14:15:16.981000,41.51114,36.1199722,48.979,-2.48000669,255.0,45.7607269
14:15:17.059000,41.5111237,36.11978,48.69,-0.53247267,281.0,40.6833534
14:15:18.131000,41.5111542,36.11961,48.913,-1.9706763,303.0,28.5775185
14:15:19.182000,41.5112419,36.11942,50.946,-1.61800075,316.0,9.496108
14:15:20.189000,41.5113258,36.1192741,52.807,-3.34385514,320.0,1.06135666
14:15:20.323000,41.5114021,36.1191444,53.364,-4.27090454,321.0,-0.5244541
14:15:22.249000,41.5115433,36.11888,52.751,-5.282412,317.0,-6.46312428
14:15:23.307000,41.5116,36.1187363,52.184,-6.012025,311.0,-8.077354
14:15:24.383000,41.5116425,36.11862,51.955,-5.63053131,310.0,-6.4539156
14:15:25.426000,41.5116768,36.1185036,51.626,-4.8755,305.0,-6.227282
14:15:27.384000,41.5118141,36.1182747,51.159,-4.08077,338.0,31.0997543
14:15:28.446000,41.5119247,36.11825,51.27,-6.12770939,359.0,26.2365627
14:15:29.511000,41.5120354,36.1182861,51.526,-5.772111,12.0,16.7550182
14:15:30.579000,41.51214,36.1183472,51.823,-6.150698,21.0,8.805886
14:15:31.638000,41.5122261,36.1184158,52.204,-7.493905,24.0,0.329754859
14:15:32.671000,41.5123367,36.1185036,52.165,-6.71131,24.0,-1.25958741
14:15:33.779000,41.51241,36.118557,51.792,-6.31818771,23.0,-2.4549706
14:15:33.913000,41.5124855,36.1186142,51.355,-5.89443254,22.0,-3.723414
14:15:34.971000,41.5126038,36.1186943,50.57,-5.69402552,19.0,-3.72960258
14:15:36.045000,41.51269,36.1187439,49.983,-5.596932,15.0,-4.155572
14:15:37.020000,41.5127831,36.1188049,49.058,-4.1111393,20.0,33.5578041
14:15:37.088000,41.51285,36.11893,48.26,-6.38086176,49.0,36.30464
14:15:38.133000,41.51288,36.1190872,48.922,-2.22752166,64.0,27.64986
14:15:39.198000,41.51288,36.11925,49.335,-4.14565945,79.0,25.7557125
14:15:40.266000,41.51284,36.11948,49.539,-4.24397373,90.0,11.9678917
14:15:41.342000,41.51279,36.11966,49.713,-4.16256762,96.0,4.55794764
14:15:42.411000,41.5127373,36.1198349,50.12,-4.59511042,97.0,-0.6443536
14:15:43.382000,41.5126839,36.1200027,50.707,-4.70463943,97.0,-2.34867334
14:15:44.387000,41.5126228,36.1202126,51.294,-6.5561533,98.0,-3.41580057
14:15:45.354000,41.5125847,36.12035,51.556,-7.17317724,94.0,-4.483928
14:15:46.505000,41.5125351,36.1205139,51.661,-4.30110741,104.0,41.7051277
14:15:47.496000,41.5124321,36.12065,51.083,-4.520333,129.0,44.1120338
14:15:47.643000,41.51224,36.12074,50.07,-4.05322742,158.0,40.7325
14:15:48.722000,41.512085,36.1207237,50.089,-6.0855217,179.0,28.4047489
14:15:49.792000,41.5118866,36.120636,51.412,-3.169686,199.0,15.1036606
14:15:50.864000,41.5117569,36.12055,52.009,-5.464259,204.0,5.46268559
14:15:52.520000,41.51144,36.12032,51.703,-8.194321,208.0,-7.77567768
14:15:54.977000,41.5111961,36.1200676,49.375,-4.679551,244.0,43.85465
14:15:56.037000,41.51115,36.11988,48.678,-3.804819,267.0,38.8141022
14:15:56.103000,41.5111771,36.1196556,48.979,-3.190907,297.0,22.8053036
14:15:57.063000,41.5112419,36.11949,50.233,-2.43764234,308.0,15.6304436
14:15:59.801000,41.5113945,36.11922,50.891,-5.698221,319.0,-0.203490064
14:16:00.871000,41.511467,36.1190948,50.83,-5.68542147,320.0,-3.70214486
14:16:01.943000,41.51153,36.11896,50.569,-6.527335,318.0,-5.8782835
14:16:03.475000,41.51167,36.1185951,48.796,-5.039094,303.0,-5.62289429
14:16:04.127000,41.51171,36.1184349,48.549,-2.69072914,302.0,37.6793
14:16:05.196000,41.5117874,36.11831,47.518,-4.25683165,322.0,35.9066963
14:16:06.250000,41.511898,36.1182556,47.089,-3.40718079,346.0,31.4372425
14:16:07.314000,41.5120125,36.1182671,47.231,-2.54492283,5.0,23.1800175
14:16:08.388000,41.51212,36.11833,47.374,-9.07055,19.0,10.4332619
14:16:09.462000,41.5122032,36.1183929,46.163,-16.9784031,21.0,5.082001
14:16:10.522000,41.5123329,36.1184845,42.934,-8.381185,21.0,5.03083372
14:16:11.577000,41.5124359,36.1185722,43.251,-1.4085933,23.0,34.1991
14:16:12.644000,41.51255,36.1187477,45.194,3.708028,44.0,20.20086
14:16:14.507000,41.51266,36.1190872,50.449,8.467878,58.0,4.60669041
14:16:14.683000,41.51266,36.1190872,50.449,8.467878,58.0,4.60669041
14:16:16.652000,41.51272,36.1194954,58.006,3.807692,71.0,19.0964031
14:16:17.723000,41.51271,36.11967,60.696,4.51657,79.0,16.376667
14:16:18.802000,41.5126762,36.11991,63.077,-4.300119,83.0,27.7645626
14:16:18.883000,41.5126762,36.11991,63.077,-4.300119,83.0,27.7645626
14:16:19.027000,41.5126076,36.1201477,65.063,1.73765469,101.0,13.7986593
14:16:20.988000,41.5124474,36.1205368,66.583,-2.75867271,98.0,29.4400139
14:16:22.063000,41.51238,36.1206627,65.846,-8.809447,122.0,27.489996
14:16:24.008000,41.512146,36.1208839,67.971,5.25427055,131.0,27.0591125
14:16:24.980000,41.5119972,36.1209564,69.16,-1.77569377,148.0,22.9028912
14:16:25.055000,41.5118332,36.1209831,70.523,6.69071436,163.0,27.3712368
14:16:26.112000,41.511673,36.1209564,72.146,-5.12987328,184.0,8.894563
14:16:27.186000,41.5115547,36.1209259,71.737,-2.267103,180.0,-3.75445414
14:16:28.138000,41.5113945,36.1209,73.245,10.0131893,176.0,-7.415136
14:16:29.186000,41.5112877,36.1208839,74.896,5.512322,164.0,9.747904
14:16:30.239000,41.5111275,36.12084,75.046,5.705381,182.0,31.2999916
14:16:31.379000,41.511013,36.1207581,74.914,4.386685,213.0,36.48872
14:16:32.391000,41.5109177,36.12061,75.143,-6.025459,243.0,30.07622
14:16:32.539000,41.5108566,36.12042,73.295,-10.4785795,259.0,13.660676
14:16:33.604000,41.5108376,36.1203156,72.766,1.84183908,266.0,30.0177727
14:16:34.670000,41.5108261,36.12006,73.091,-9.563843,287.0,28.1408176
14:16:35.639000,41.5108643,36.119873,72.851,-1.285429,308.0,19.8584
14:16:36.312000,41.51093,36.11972,73.692,-12.4035845,312.0,11.3499136
14:16:37.383000,41.5110054,36.1195755,72.809,-13.9812918,316.0,5.816964
14:16:38.449000,41.5110435,36.119503,72.226,-6.763669,325.0,32.44357
14:16:39.423000,41.5112,36.1193581,71.377,-7.37705755,343.0,13.1468639
14:16:40.496000,41.5112839,36.1193237,73.158,3.6328187,349.0,5.1156373
14:16:41.566000,41.5114,36.11929,74.464,-4.74848747,352.0,-5.912417
14:16:42.636000,41.5115166,36.1192474,75.953,-1.26755977,339.0,10.34003
14:16:43.704000,41.5116043,36.11922,76.614,-6.522863,352.0,21.65659
14:16:44.663000,41.5117226,36.119236,77.993,-1.6508981,8.0,35.0411148
14:16:45.735000,41.5118027,36.119297,79.173,-1.21732044,27.0,8.014945
14:16:46.795000,41.5119057,36.1194267,82.053,-10.3452711,30.0,-5.14033651
14:16:48.468000,41.5121078,36.11967,78.821,-16.7749557,30.0,35.77229
14:16:48.700000,41.51219,36.11981,74.105,-24.9141769,38.0,26.8871651
14:16:49.773000,41.51229,36.1200256,68.405,-27.1907139,45.0,17.1829624
14:16:50.740000,41.51229,36.1200256,68.405,-25.714325,45.0,18.8631973
14:16:51.814000,41.51229,36.1200256,68.405,-25.714325,45.0,18.8631973
14:16:52.777000,41.51229,36.1200256,68.405,-25.714325,45.0,18.8631973
14:16:53.855000,41.51229,36.1200256,68.405,-23.7991428,45.0,9.059416
14:16:54.921000,41.5124741,36.12086,65.77,-1.87601519,54.0,31.4604244
14:16:55.890000,41.512188,36.1213264,78.366,10.0746183,149.0,52.2128639
14:16:57.841000,41.5118675,36.12125,77.027,-4.62352753,203.0,28.6374035
14:16:58.909000,41.5117149,36.1210861,76.31,3.97739577,220.0,33.0342751
14:16:59.969000,41.5116043,36.12088,76.476,-0.486046076,243.0,35.8123779
14:17:01.919000,41.51154,36.12044,76.143,-5.41391945,278.0,16.3586063
14:17:02.944000,41.5115547,36.1201935,77.491,-5.452405,284.0,5.40799952
14:17:03.963000,41.5115776,36.120018,78.455,-9.440939,282.0,13.1596584
14:17:04.290000,41.51167,36.1195869,77.625,-17.4968452,297.0,0.570053
14:17:06.227000,41.5117378,36.1192,76.804,-11.2804565,296.0,1.68332684
14:17:07.293000,41.5117722,36.119,77.799,3.51101041,294.0,16.3814316
14:17:09.835000,41.5118675,36.1187553,83.142,9.87297249,336.0,37.96803
14:17:10.806000,41.51196,36.1186943,84.879,-4.222685,359.0,21.7226124
14:17:11.875000,41.5120354,36.1186829,84.53,-10.44904,358.0,22.27816
14:17:12.934000,41.5121422,36.11871,83.397,-14.3045464,13.0,29.41941
14:17:14.010000,41.51226,36.11879,81.058,-8.833745,28.0,16.999464
14:17:14.080000,41.5123634,36.11891,80.48,-14.0094681,41.0,16.6837368
14:17:15.141000,41.51245,36.1190567,78.299,-14.7933168,45.0,14.8487053
14:17:16.190000,41.51252,36.1192131,75.436,-12.2314463,53.0,13.04899
14:17:17.268000,41.51257,36.11938,73.999,-5.333623,59.0,11.5070572
14:17:17.388000,41.5125847,36.11946,73.926,0.6098,72.0,21.439764
14:17:18.441000,41.51258,36.1196251,75.129,9.085878,84.0,11.5768461
14:17:19.480000,41.5125465,36.1197624,77.078,-0.998630762,90.0,2.44084072
14:17:20.537000,41.51251,36.1198959,77.7,-2.26518965,90.0,4.593303
14:17:21.570000,41.5124741,36.1200333,78.534,-6.74697542,94.0,-2.27811313
14:17:22.585000,41.5124321,36.12018,80.107,-6.36925125,94.0,-2.619078
14:17:23.639000,41.512413,36.12025,80.821,-12.4641542,92.0,-0.939391136
14:17:24.698000,41.5123558,36.12047,79.676,-10.9723539,95.0,15.97496
14:17:25.755000,41.5123024,36.1205978,80.652,-1.89283025,105.0,7.28195047
14:17:26.829000,41.51222,36.12075,82.136,-3.4772346,103.0,25.76573
14:17:27.886000,41.512146,36.1208572,81.71,-5.033169,121.0,27.22662
14:17:28.049000,41.5120163,36.1209641,81.496,-8.486781,138.0,29.6945343
14:17:29.160000,41.5118561,36.1210365,79.733,-9.211955,149.0,18.0406551
14:17:29.289000,41.51168,36.12107,81.179,0.7216175,159.0,20.1986542
14:17:30.265000,41.51151,36.12107,81.476,-12.125371,167.0,18.8207169
14:17:31.126000,41.5113754,36.1210442,81.099,-5.45860624,184.0,6.912874
14:17:32.190000,41.5112038,36.1209946,82.557,-0.275094837,186.0,0.5965392
14:17:33.261000,41.51109,36.12096,84.125,2.0361464,185.0,4.8287344
14:17:34.335000,41.5109367,36.1209068,85.381,-15.1694355,186.0,6.435663
14:17:35.399000,41.51082,36.12086,83.351,-11.1638288,189.0,1.2390461
14:17:36.466000,41.5106544,36.1207962,82.401,-0.5843134,184.0,17.0387
14:17:37.524000,41.5105362,36.1207275,83.126,-2.96430874,194.0,31.0598488
14:17:39.482000,41.510273,36.1203728,80.716,-3.50717378,245.0,31.0554428
14:17:40.458000,41.5102272,36.1201324,79.458,-4.125943,272.0,38.95548
14:17:41.532000,41.51025,36.11996,78.591,-6.045193,298.0,28.9880466
14:17:42.600000,41.51031,36.1197929,77.444,-6.016986,307.0,25.79675
14:17:43.730000,41.5104,36.11966,75.065,-14.5940313,327.0,15.0677471
14:17:43.842000,41.5104752,36.1195755,73.3,-11.8671217,338.0,-11.6764765
14:17:44.899000,41.510582,36.119442,72.285,-9.604424,324.0,-21.8357086
14:17:45.862000,41.51068,36.1192741,71.001,-18.9341354,311.0,-0.293255776
14:17:46.930000,41.51078,36.1190948,70.868,-7.65717459,314.0,-6.69972
14:17:47.987000,41.5108452,36.1189575,71.695,-8.486188,310.0,2.24687314
14:17:49.047000,41.51092,36.1187973,73.34,2.092082,315.0,0.368613243
14:17:49.101000,41.5109825,36.1186562,76.014,9.302155,315.0,-0.515323043
14:17:50.175000,41.511013,36.11858,77.585,9.897766,316.0,24.12302
14:17:51.242000,41.5110626,36.1184921,78.382,2.85115862,346.0,29.9573746
14:17:52.305000,41.5111237,36.1184578,77.689,-14.9092379,2.0,28.7883759
14:17:53.868000,41.5112,36.11847,74.382,-15.3200083,17.0,10.9529848
14:17:54.835000,41.5112724,36.1185036,73.822,-11.2783289,23.0,-4.90695238
14:17:55.977000,41.511364,36.1185455,72.203,-12.8047447,17.0,-4.71774769
14:17:56.119000,41.5114632,36.1185837,71.461,-1.00512993,12.0,10.4851875
14:17:57.718000,41.51161,36.1186752,72.159,-5.19342661,29.0,-2.61356854
14:17:58.751000,41.511692,36.1187325,71.551,-12.2923756,22.0,-7.415911
14:17:59.811000,41.5117569,36.1187668,69.627,-10.9448891,19.0,-11.6001091
14:18:00.788000,41.5118637,36.1187935,68.61,-6.1720767,7.0,7.534828
14:18:01.645000,41.5119629,36.11883,68.643,-1.16930723,11.0,33.17962
14:18:02.710000,41.51204,36.1189346,68.685,-2.47434783,40.0,32.0192871
14:18:03.767000,41.51206,36.11905,69.9,3.02006173,69.0,33.0217438
14:18:04.817000,41.51202,36.11921,72.984,11.3696384,98.0,46.1152763
14:18:05.872000,41.5119133,36.1193275,75.276,6.644245,130.0,48.1217575
14:18:06.937000,41.5117531,36.1193466,76.629,5.65077925,171.0,25.6033573
14:18:08.008000,41.5116348,36.1193,78.054,15.8923855,193.0,23.9444828
14:18:08.071000,41.5115128,36.1192,80.833,18.62796,221.0,25.528223
14:18:09.140000,41.5114479,36.1191063,82.88,16.939661,240.0,37.1011047
14:18:10.087000,41.5114,36.1189575,84.137,4.51200771,279.0,38.41506
14:18:11.171000,41.5114059,36.1188,83.598,-6.237532,301.0,33.7750626
14:18:11.313000,41.5114441,36.1187,82.822,0.467831522,324.0,29.9617748
14:18:12.270000,41.51154,36.11861,84.162,1.72764325,343.0,25.1833
14:18:13.239000,41.5116539,36.11858,86.452,-6.274952,358.0,32.96754
14:18:14.416000,41.511776,36.11861,87.265,0.349183947,15.0,37.76157
14:18:15.480000,41.5118561,36.11869,87.783,-10.3704414,32.0,26.4924355
14:18:16.535000,41.5119476,36.11884,87.188,-10.6694975,45.0,-6.06139469
14:18:17.686000,41.51202,36.1189537,86.107,-9.137576,43.0,-0.253644079
14:18:18.739000,41.51213,36.1191063,85.524,-10.7499495,31.0,45.63299
14:18:19.680000,41.5121841,36.11919,83.198,-18.2190533,38.0,57.8477821
14:18:21.367000,41.51225,36.11973,79.988,-0.2743068,86.0,20.8898945
14:18:22.326000,41.512207,36.1199379,80.87,-8.29631,90.0,-4.385726
14:18:24.471000,41.512146,36.12028,83.293,-0.955613256,90.0,23.2178764
14:18:25.631000,41.5120239,36.1206131,83.761,6.135636,102.0,-12.9337149
14:18:27.213000,41.5119476,36.12098,91.482,4.73561525,92.0,7.656292
14:18:29.986000,41.5118065,36.1213264,94.117,-3.02770448,115.0,26.6886139
14:18:30.894000,41.5117455,36.1213951,94.489,-0.383400828,128.0,32.67694
14:18:31.695000,41.51159,36.1215,95.919,4.809914,149.0,23.6343918
14:18:32.737000,41.5114059,36.1215439,98.868,-0.0832954347,157.0,36.4800262
14:18:33.576000,41.51121,36.1215477,99.087,-7.07208967,174.0,18.1864815
14:18:35.496000,41.510807,36.12146,101.656,1.65066147,179.0,40.181366
14:18:36.490000,41.5107079,36.1214142,101.66,3.84968066,205.0,32.07669
14:18:37.545000,41.5105362,36.121254,103.223,4.20164728,218.0,39.64952
14:18:38.399000,41.5104065,36.12104,103.939,-3.13363934,236.0,54.7791023
14:18:38.502000,41.51033,36.1207581,101.894,-1.69198942,267.0,27.1776524
14:18:39.622000,41.51033,36.1205025,101.976,-2.49609017,277.0,41.1975555
14:18:40.186000,41.5103569,36.12032,100.035,-10.37395,293.0,46.45601
14:18:43.071000,41.5105629,36.1199379,92.862,-18.28697,324.0,8.575759
14:18:43.080000,41.5106621,36.11982,90.062,-10.8800993,328.0,0.834745765
14:18:45.053000,41.51079,36.11966,87.09,-26.19462,324.0,4.592599
14:18:45.085000,41.5108948,36.119545,82.25,-17.7087536,326.0,13.077198
14:18:46.128000,41.5110474,36.1194153,80.481,-13.1775808,332.0,6.803774
14:18:47.233000,41.5111923,36.119297,81.16,-4.30277824,331.0,5.145932
14:18:48.226000,41.511322,36.1191978,80.29,-5.82352257,337.0,17.7973118
14:18:49.340000,41.5114365,36.1191559,80.123,-7.30796671,351.0,-0.5315312
14:18:50.224000,41.51154,36.1191254,79.716,-3.32010436,350.0,1.05272377
14:18:51.329000,41.5116653,36.11908,79.301,-6.34473848,353.0,0.598934352
14:18:52.374000,41.5117569,36.11905,78.417,-8.348577,353.0,1.11949623
14:18:53.461000,41.5118446,36.11902,76.84,-10.3377333,356.0,1.80403221
14:18:53.580000,41.5119362,36.118988,75.095,-10.3840761,355.0,-0.140737832
14:18:54.651000,41.51206,36.11895,74.087,-11.1193542,352.0,1.82350934
14:18:55.724000,41.512146,36.1189232,73.38,-11.99093,352.0,0.352489561
14:18:56.792000,41.51224,36.1188927,72.009,-13.2494011,351.0,1.82284987
14:18:57.864000,41.5123367,36.118866,70.407,-14.93126,352.0,2.814002
14:18:58.434000,41.5124664,36.1188278,67.488,-14.8858747,356.0,3.58404279
14:18:59.369000,41.5125656,36.1188049,65.727,-15.0226307,357.0,0.508838534
14:19:02.415000,41.51289,36.11882,59.327,-11.583827,24.0,34.9902
14:19:03.389000,41.5129662,36.11893,56.802,-9.664099,43.0,38.11094
14:19:04.508000,41.5130043,36.11909,54.264,-8.873547,64.0,33.1149
14:19:05.578000,41.5129929,36.1192627,52.625,-9.974575,87.0,25.53736
14:19:06.731000,41.5129662,36.1193733,52.353,-8.662035,103.0,9.380401
14:19:07.713000,41.512886,36.11957,52.336,-7.354203,109.0,2.728707
14:19:07.777000,41.51281,36.1197281,53.068,-8.522742,109.0,-0.87965107
14:19:08.822000,41.5127258,36.1199074,51.985,-10.4785776,106.0,-4.41855145
14:19:09.754000,41.5126762,36.1200256,51.033,-9.510879,104.0,-7.38342667
14:19:10.782000,41.5126228,36.1201744,49.777,-8.215951,98.0,-6.292051
14:19:11.830000,41.5125847,36.1202927,48.814,-7.88117838,95.0,-6.3530407
14:19:12.855000,41.51255,36.1204147,47.742,-5.339615,93.0,35.99361
14:19:13.889000,41.51247,36.12055,45.761,-6.71368933,121.0,39.1261826
14:19:15.006000,41.5122871,36.1206436,44.607,-4.16364574,152.0,35.50353
14:19:15.056000,41.5121422,36.1206245,45.664,-3.54287434,180.0,22.3267555
14:19:16.079000,41.5119972,36.1205673,46.407,-4.313921,189.0,11.7517233
14:19:17.130000,41.51187,36.1205025,46.428,-5.489738,194.0,4.130752
14:19:18.163000,41.5117149,36.12041,46.964,-5.19332933,202.0,1.26733065
14:19:19.232000,41.5116,36.1203461,47.371,-5.611586,202.0,-4.2656765
14:19:20.299000,41.5114746,36.1202736,47.651,-5.41332436,197.0,-4.34433174
14:19:21.424000,41.5113029,36.1201744,47.869,-3.241386,200.0,43.9648476
14:19:21.534000,41.51118,36.1199951,47.338,-3.4755125,229.0,44.75475
14:19:22.701000,41.51114,36.1197472,47.067,-2.45831418,274.0,38.77652
14:19:23.751000,41.511158,36.1195946,47.441,-3.72891021,289.0,25.8855648
14:19:24.908000,41.5112419,36.11936,47.61,-5.465131,306.0,15.1120157
14:19:26.826000,41.5113831,36.11909,47.173,-3.69319344,320.0,-1.88857543
14:19:27.674000,41.5114441,36.11897,47.403,-3.39040112,316.0,-2.84662437
14:19:28.717000,41.51152,36.1188049,48.036,-4.52490664,310.0,-6.146562
14:19:29.814000,41.5115738,36.11868,49.546,-3.70985556,306.0,-5.92819357
14:19:30.862000,41.5116158,36.118557,51.036,-5.489967,308.0,-5.00783968
